"
	TEMAT";"
	WYMAGANIA SZCZEGÓŁOWE Z PODSTAWY PROGRAMOWEJ DLA KLASY VII - VIII"
"
  DZIAŁ 1. LICZBY I DZIAŁANIA";
"
  System rzymski";"
 Powtórzenie i utrwalenie umiejętności z zakresu podstawy programowej dla klas IV -VI."
"
  Własności liczb naturalnych";"
 Powtórzenie i utrwalenie umiejętności z zakresu podstawy programowej dla klas IV -VI."
"
  Porównywanie liczb";"
 Powtórzenie i utrwalenie umiejętności z zakresu podstawy programowej dla klas IV -VI oraz

 I. Potęgi o podstawach wymiernych. Uczeń:

 1) zapisuje iloczyn jednakowych czynników w postaci potęgi o wykładniku całkowitym dodatnim;

 5) odczytuje i zapisuje liczby w notacji wykładniczej	∙ 10 , gdy 1  ≤	<  10 , k jest liczbą całkowitą.

 II. Pierwiastki. Uczeń:

 1) oblicza wartości pierwiastków kwadratowych i sześciennych z liczb, które są odpowiednio kwadratami lub sześcianami liczb w ymiernych;

 2) szacuje wielkość danego pierwiastka kwadratowego lub sześciennego;

 3) porównuje wartość wyrażenia arytmetycznego zawierającego pierwiastki z daną liczbą wymierną oraz znajduje liczby wymierne większe lub

 mniejsze od takiej wartości."
"
  Działania na liczbach";"
 Powtórzenie i utrwalenie umiejętności z zakresu podstawy programowej dla klas IV -VI oraz

 II. Pierwiastki. Uczeń:

 1) oblicza wartości pierwiastków kwadratowych i sześciennych z liczb, które są odpowiednio kwadratami lub sześcianami liczb w ymiernych."
"
  Działania na potęgach i

  pierwiastkach";"
 I. Potęgi o podstawach wymiernych. Uczeń:

 2) mnoży i dzieli p otęgi o wykładnikach całkowitych dodatnich;

 3) mnoży potęgi o różnych podstawach i jednakowych wykładnikach;

 4) podnosi potęgę do potęgi;

 5) odczytuje i zapisuje liczby w notacji wykładniczej	∙ 10 , gdy 1  ≤	<  10 , k jest liczbą całkowitą.

 II. Pierwiastki. Uczeń:

 1) oblicza wartości pierwiastków kwadratowych i sześciennych z liczb, które są odpowiednio kwadratami lub sześcianami liczb w ymiernych;

 2) szacuje wielkość danego pierwiastka kwadratowego lub sześciennego oraz wyrażenia arytmetycznego zawierającego pierwiastki;

 3) porównuje wartość wyrażenia arytmetycznego zawierającego pierwiastki z daną liczbą wymierną oraz znajduje liczby wymierne większe lub

 mniejsze od takiej wartości;

 4) oblicza pierwiastek z iloczynu i ilorazu dwóc h liczb, wyłącza liczbę przed znak pierwiastka i włącza liczbę pod znak pierwiastka;

 5) mnoży i dzieli pierwiastki tego samego stopnia."
"
  DZIAŁ 2. WYRAŻENIA ALGEBRAICZNE I RÓWNANIA";
"
  Przekształcenia algebraiczne";"
 III. Tworzenie wyrażeń algebraicznych z jedną i z wieloma zmiennymi. Uczeń:

 1) zapisuje wyniki podanych działań w postaci wyrażeń algebraicznych jednej lub kilku zmiennych;

 2) oblicza wartości liczbowe wyrażeń algebraicznych;

 3) zapisuje zależności przedstawione w zadaniach w postaci wyrażeń algebrai cznych jednej lub kilku zmiennych;"

;"
 4) zapisuje rozwiązania zadań w postaci wyrażeń algebraicznych.

 IV. Przekształcanie wyrażeń algebraicznych. Sumy algebraiczne i działania na nich. Uczeń:

 1) porządkuje jednomiany i dodaje jednomiany podobne (tzn. różniące się jedynie współczynnikiem liczbowym);

 2) dodaje i odejmuje sumy algebraiczne, redukując wyrazy podobne;

 3) mnoży sumy algebraiczne przez jednomian i dodaje wyrażenia powstałe z mnożenia sum algebraicznych przez jednomiany;

 4) mnoży dwumian przez dwumian , redukując wyrazy podobne."
"
  Równania";"
 VI. Równania z jedną niewiadomą. Uczeń:

 1) sprawdza, czy dana liczba jest rozwiązaniem równania (stopnia pierwszego, drugiego lub trzeciego) z jedną niewiadomą;

 2) rozwiązuje równania pierwszego stopnia z jedną niewiadomą metodą równań równoważnych;

 3) rozwiązuje równania, które po prostych przekształceniach wyrażeń algebraicznych sprowadzają się do równań pierwszego stopn ia z jedną

 niewiadomą;

 4) rozwiązuje zadania tekstowe za pomocą równań pierwszego stopnia z jedną niewiadomą, w tym także z obliczeniami procentowymi;

 5) przekształca proste wzory, aby wyznaczyć zadaną wielkość we wzorach geometrycznych (np. pól figur) i fizycznych (np. dotyc zących

 prędkości, drogi i czasu)."
"
  Proporcje";"
 VII. Proporcjonalność prost a. Uczeń:

 3) stosuje podział proporcjonalny."
"
  Wielkości wprost

  proporcjonalne";"
 VII. Proporcjonalność prosta. Uczeń:

 1) podaje przykłady wielkości wprost proporcjonalnych;

 2) wyznacza wartość przyjmowaną przez wielkość wprost proporcjonalną w przypadku konkretnej zależności proporcjonalnej."
"
  DZIAŁ 3. FIGURY NA PŁASZCZYŹNIE";
"
  Trójkąty i czworokąty";"
 Powtórzenie i utrwalenie umiejętności z zakresu podstawy programowej dla klas IV -VI oraz

 VIII. Własności figur geometrycznych na płaszczyźnie. Uczeń:

 1) zna i stosuje twierdzenie o równości kątów wierzchołkowych (z wykorzystaniem zależności między kątami przyległymi);

 3) korzysta z własności prostych równoległych, w szczególności stosuje równość kątów odpowiadających i naprzemianległych;

 4) zna i stosuje cechy p rzystawania trójkątów;

 5) zna nierówność trójkąta	+	≥	i wie, kiedy zachodzi równość;

 6) wykonuje proste obliczenia geometryczne wykorzystując sumę kątów wewnętrznych trójkąta i własności trójkątów równoramienny ch.

 IX. Wielokąty. Uczeń:

 2) stosuj e wzory na pole trójkąta, prostokąta, kwadratu, równoległoboku, rombu, trapezu, a także do wyznaczania długości odcinków."
"
  Twierdzenie Pitagorasa";"
  VIII. Własności figur geometrycznych na płaszczyźnie. Uczeń:

  7) zna i stosuje w sytuacjach praktycznych twierdzenie Pitagorasa (bez twierdzenia odwrotnego)."
"
  Zastosowania twierdzenia

  Pitagorasa";"
 VIII. Własności figur geometrycznych na płaszczyźnie. Uczeń:

 7) zna i stosuje w sytuacjach praktycznych twierdzenie Pitagorasa (bez twierdzenia odwrotnego)."
"
  Przekątn a kwadratu.

  Wysokość trójkąta

  równobocznego";"
 VIII. Własności figur geometrycznych na płaszczyźnie. Uczeń:

 7) zna i stosuje w sytuacjach praktycznych twierdzenie Pitagorasa (bez twierdzenia odwrotnego)."
"
  Trójkąty o kątach 90 °, 45 °, 45 °

  oraz 90 °, 30 °, 60 °";"
 VIII. Własności figur geometrycznych na płaszczyźnie. Uczeń:

 7) zna i stosuje w sytuacjach praktycznych twierdzenie Pitagorasa (bez twierdzenia odwrotnego)."

"
  Odcinki w układzie

  współrzędnych";"
 VIII. Własności figur geometrycznych na płaszczyźnie. Uczeń:

 7) zna i stosuje w sytuacjach praktycznych twierdzenie Pitagorasa (bez twierdzenia odwrotnego).

 X. Oś liczbowa. Układ współrzędnych na płaszczyźnie . Uczeń:

 4) znajduje środek odcinka, którego końce mają dane współrzędne (całkowite lub wymierne) oraz znajduje współrzędne drugiego końca

 odcinka, gdy dany jest jeden koniec i środek;

 5) oblicza długość odcinka, którego końce są danymi punktami kratowymi w układzie współrzędnych;

 6) dla danych punktów kratowych A i B znajduje inne punkty kratowe należące do prostej AB."
"
  Dowodzenie

  w geometrii";"
 VIII. Własności figur geometrycznych na płaszczyźnie. Uczeń:

 8) przeprowadza dowody geometryczne nie trudniejsze niż w przykładach."
"
  DZIAŁ 4. ZASTOSOWANIA MATEMATYKI";
"
  Obliczenia procentowe";"
 V. Obliczenia procentowe. Uczeń:

 1) przedstawia część wielkości jako procent tej wielkości;

 2) oblicza liczbę a równą p procent danej liczby b ;

 3) oblicza, jaki procent danej liczby b stanowi liczba a ;

 4) oblicza liczbę b , której p procent jest równe a ;

 5) stosuje obliczenia procentowe do rozwiązywania problemów w kontekście praktycznym, również w przypadkach dwukrotnych podwy żek lub

 obniżek danej wielkości."
"
  Zmiana o dany procent.

  Lokaty bankowe";"
 V. Obliczenia procentowe. Uczeń:

 5) stosuje obliczenia procentowe do rozwiązywania problemów w kontekście praktycznym, również w przypadkach dwukrotnych podwyżek lub

 obniżek danej wielkości."
"
  VAT i inne podatki";"
 V. Obliczenia procentowe. Uczeń:

 2) oblicza liczbę a równą p procent danej liczby b ;

 4) oblicza liczbę b , której p procent jest równe a ;

 5) stosuje obliczenia procentowe do rozwiązywania problemów w kontekście praktycznym, również w przypadkach dwukrotnych podwy żek lub

 obniżek danej wielkości."
"
  Czytanie diagramów";"
 V. Obliczenia procentowe. Uczeń:

 1) przedstawia część wielkości jako procent tej wielkości;

 2) oblicza liczbę a równą p procent danej liczby b ;

 3) oblicza, jaki procent danej liczby b stanowi liczba a ;

 4) oblicza liczbę b , której p procent jest równe a .

 XIII. Odczytywanie danych i elementy statystyki opisowej. Uczeń:

 1) interpretuje dane przedstawione za pomocą tabel, diagramów słupkowych i kołowych, wykresów, w tym także wykresów w układzi e

 współrzędnych."
"
  Podział proporcjonalny";"
 VII. Proporcjonalność prosta . Uczeń:

 3) stosuje podział proporcjonalny."
"
  Obliczanie

  prawdopodobieństw";"
 XII. Wprowadzenie do kombinatoryki i rachunku prawdopodobieństwa. Uczeń:

 1) wyznacza zbiory obiektów, analizuje i oblicza, ile jest obiektów, mających daną własność, w przypadkach niewymagających stosowania reguł

 mnożenia i dodawania;"

;"
 2) przeprowadza proste doświadczenia losowe, polegające na rzucie monetą, rzucie sześcienną kostką do gry, rzucie kostką wiel ościenną lub

 losowaniu kuli spośród zestawu kul, analizuje je i oblicza praw dopodobieństwa zdarzeń w doświadczeniach losowych."
"
  Odczytywanie wykresów";"
 XIII. Odczytywanie danych i elementy statystyki opisowej. Uczeń:

 1) interpretuje dane przedstawione za pomocą tabel, diagramów słupkowych i kołowych, wykresów, w tym także wykresów w układzie

 współrzędnych."
"
  DZIAŁ 5. GRANIASTOSŁUPY I OSTROSŁUPY";
"
  Pole powierzchni

  i objętość g raniastosłupa";"
 Powtórzenie i utrwalenie umiejętności z zakresu podstawy programowej dla klas IV -VI oraz

 XI. Geometria przestrzenna. Uczeń:

 1) rozpoznaje graniastosłupy i ostrosłupy – w tym proste i prawidłowe;

 2) oblicza objętości i pola powierzchni graniastosłupów prostych, prawidłowych i takich, które nie są prawidłowe o poziomie t rudności nie

 większym niż w przykładowym zadaniu."
"
  Odcinki w g raniastosłupach";"
 VIII. Własności figur geometrycznych na płaszczyźnie. Uczeń:

 7) zna i stosuje w sytuacjach praktycznych twierdzenie Pitagorasa (bez twierdzenia odwrotnego).

 IX. Wielokąty. Uczeń:

 1) zna pojęcie wielokąta foremnego;

 2) stosuje wzory na pole trójkąta, prostokąta, kwadratu, równoległoboku, rombu, trapezu, a także do wyznaczania długości odcinków w

 zadaniach nie trudniejszych niż w przykładach.

 XI. Geometria przestrzenna. Uczeń:

 1) rozpoznaje graniastosłupy i ostrosłupy – w tym proste i prawidło we;

 2) oblicza objętości i pola powierzchni graniastosłupów prostych, prawidłowych i takich, które nie są prawidłowe o poziomie t rudności nie

 większym niż w przykładowym zadaniu."
"
  Rodzaje ostrosłupów";"
 XI. Geometria przestrzenna. Uczeń:

 1) rozpoznaje graniastosłupy i ostrosłupy – w tym proste i prawidłowe."
"
  Siatki ostrosłupów. Pole

  powierzchni";"
 XI. Geometria przestrzenna. Uczeń:

 1) rozpoznaje graniastosłupy i ostrosłupy – w tym proste i prawidłowe;

 3) oblicza objętości ostrosłupów i pola powierzchni os trosłupów prawidłowych i takich, które nie są prawidłowe w zadaniach nie trudniejszych

 niż w przykładzie."
"
  Objętość ostrosłupa";"
 XI. Geometria przestrzenna. Uczeń:

 1) rozpoznaje graniastosłupy i ostrosłupy – w tym proste i prawidłowe;

 3) oblicza objętości ostrosłupów i pola powierzchni ostrosłupów prawidłowych i takich, które nie są prawidłowe w zadaniach nie trudniejszych

 niż w przykładzie."
