"
	TEMAT";"
	WYMAGANIA SZCZEGÓŁOWE Z PODSTAWY PROGRAMOWEJ DLA KLASY IV -VI"
"
  Kąty w trójkątach

  i czworokątach";"
  VIII. Kąty. Uczeń:

  6) rozpoznaje kąty wierzchołkowe i przyległe oraz korzysta z ich własności.

  IX. Wielokąty, koła i okręgi. Uczeń:

  3) stosuje twierdzenie o sumie kątów wewnętrznych trójkąta;

  5) zna najważniejsze własności kwadratu, prostokąta, rombu, równoległoboku i trapezu (…);

  8) w trójkącie równoramiennym wyznacza przy danym jednym kącie miary p ozostałych kątów (…).

  XI. Obliczenia w geometrii. Uczeń:

  1) oblicza miary kątów, stosując przy tym poznane własności kątów i wielokątów."
"
  DZIAŁ 3. LICZBY NA CO DZIEŃ";
"
  Kalendarz i czas";"
  I. Liczby naturalne w dziesiątkowym układzie pozycyjnym. Uczeń:

  5) liczby w zakresie do 3 000 zapisane w systemie rzymskim przedstawia w systemie dziesiątkowym, a zapisane w systemie dziesiątk owym

  przedstawia w systemie rzymskim.

  XII. Obliczenia praktyczne. Uczeń:"

;"
  3) wykonuje proste obliczenia zegarowe na godzinach, minut ach i sekundach;

  4) wykonuje proste obliczenia kalendarzowe na dniach, tygodniach, miesiącach, latach."
"
  Jednostki długości

  i jednostki masy";"
  XII. Obliczenia praktyczne . Uczeń:

  6) zamienia i prawidłowo stosuje jednostki długości: milimetr, centymetr, decymetr, metr, kilometr;

  7) zamienia i prawidłowo stosuje jednostki masy: gram, dekagram, kilogram, tona.

  XIV. Zadania tekstowe. Uczeń:

  1) czyta ze zrozumieniem tekst zawierający informacje liczbowe;

  3) dostrzega zależności między podanymi informacjami;

  5) do rozwiązywania zadań osadzonych w kontekście praktycznym stosuje poznaną wiedzę z zakresu arytmetyki i geometrii oraz nabyte

  umiejętności rachunkowe (…)."
"
  Skala na planach i mapach";"
  XII. Obliczenia praktyczne . Uczeń:

  8) oblicza rzeczywistą długość odcinka, gdy dana jest jego długość w skali, oraz długość odcinka w skali, gdy dana jest jego rzeczywista długość."
"
  Zaokrąglanie liczb";"
  I. Liczby naturalne w dziesiątkowym układzie pozycyjnym. Uczeń:

  4) zaokrągla liczby naturalne.

  IV. Ułamki zwykłe i dziesi ętne. Uczeń:

  11) w sytuacjach praktycznych zaokrągla ułamki dziesiętne do co najwyżej drugiego miejsca po przecinku (zł, gr, m, cm, mm itp.)."
"
  Kalkulator";"
  II. Działania na liczbach naturalnych. Uczeń:

  2) dodaje i odejmuje liczby naturalne wielocyfrowe sposo bem pisemnym i za pomocą kalkulatora;

  3) mnoży i dzieli liczbę naturalną przez liczbę naturalną jednocyfrową, dwucyfrową lub trzycyfrową sposobem pisemnym , w pamięci (w

  najprostszych przykładach) i za pomocą kalkulatora (w trudniejszych przykładach).

  IV. Ułamki zwykłe i dziesiętne. Uczeń:

  9) zamienia ułamki zwykłe o mianownikach będących dzielnikami liczb 10, 100, 1000 itd. na ułamki dziesiętne skończone dowolną metodą ((…) lub za

  pomocą kalkulatora).

  V. Działania na ułamkach zwykłych i dziesiętnych. Uczeń:

  2) dodaje, odejmuje, mnoży i dzieli ułamki dziesiętne w pamięci (w przykładach najprostszych), (…) i za pomocą kalkulatora (w pr zykładach

  trudniejszych);

  6) wykonuje działania na ułamkach dziesiętnych, używając własnych, poprawnych strategii lub za pomocą kalkulatora.

  XIV. Zadania tekstowe. Uczeń:

  1) czyta ze zrozumieniem tekst zawierający informacje liczbowe;

  3) dostrzega zależności między podanymi informacjami;

  5) do rozwiązywania zadań osadzonych w kontekście praktycznym stosuje poznaną wiedzę z zakresu arytmetyki i geometrii oraz nabyte

  umiejętności rachunkowe (…)."
"
  Odczytywanie informacji";"
  XIII. Elementy statystyki opisowej. Uczeń:

  1) gromadzi i porządkuje dane;

  2) odczytuje i interpretuje dane przedstawione w tekstach, tabelach, na diagramach ( …)."
"
  Odczytywanie danych z

  wykresów";"
  XIII. Elementy statystyki opisowej. Uczeń:

  1) gromadzi i porządkuje dane;"

;"
  2) odczytuje i interpretuje dane przedstawione (…) na wykresach zjawiska przez określenie przebiegu zmiany wartości danych, na przykład z użyciem

  określenia „wartości rosną”, „wartości maleją”, „wartości są takie same” („przyjmowana wartość jest stała”) ."
"
  DZIAŁ 4. PRĘDKOŚĆ, DROGA, CZAS";
