"
	TEMAT";"
	WYMAGANIA SZCZEGÓŁOWE Z PODSTAWY PROGRAMOWEJ"
"
  Rozszerzanie i skracanie

  ułamków";"
 IV. Ułamki zwykłe i dziesiętne. Uczeń:

 3) skraca i rozszerza ułamki zwykłe ."
"
  Ułamki niewłaściwe";"
 IV. Ułamki zwykłe i dziesiętne. Uczeń:

 1) opisuje część danej całości za pomocą ułamka;

 5) przedstawia ułamki niewłaściwe w postaci liczby mieszanej, a l iczbę mieszaną w postaci ułamka niewłaściwego ."
"
  Ułamek jako wynik dzielenia*";"
 IV. Ułamki zwykłe i dziesiętne. Uczeń:

 2) przedstawia ułamek jako iloraz liczb naturalnych, a iloraz liczb naturalnych jako ułamek zwykły ."
"
  Dodawanie ułamków

  zwykłych*";"
 V. Działania na ułamkach zwykłych i dziesiętnych. Uczeń:

 1) dodaje (…) ułamki zwykłe o mianownikach jedno - lub dwucyfrowych, a także liczby mieszane ."
"
  Odejmowanie ułamków

  zwykłych*";"
 V. Działania na ułamkach zwykłych i dziesiętnych. Uczeń:

 1) dodaje, odejmuje (…) ułamki zwykłe o mianownikach jedno - lub dwucyfrowych, a także liczby mieszane ."
"
 DZIAŁ 6. UŁAMKI DZIESIĘTNE";
"
  Ułamki o mianownikach 10,

  100, 100…";"
 IV. Ułamki zwykłe i dziesiętne. Uczeń:

 1) opisuje część danej całości za pomocą ułamka;

 5) przedstawia ułamki niewłaściwe w postaci liczby mieszanej, a l iczbę mieszaną w postaci ułamka niewłaściwego;

 8) zapisuje ułamki dziesiętne skończone w postaci ułamkó w zwykłych;

 9) zamienia ułamki zwykłe o mianownikach będących dzielnikami lic zb 10, 100, 1000 itd. na ułamki dziesiętne skończone dowolną metodą (przez

	rozszerzanie lub skracanie ułamków zwykłych, dzielenie licznika przez mianownik w pamięci, pisemnie lub za pomocą kalkulatora) ."
"
  Zapisywanie wyrażeń

  dwumianowanych, cz. 1";"
 XII. Obliczenia praktyczne. Uczeń:

 6) zamienia i prawidłowo stosuje jednostki długości: milim etr, centymetr, decymetr, metr, kilometr ."
"
  Zapisywanie wyrażeń

  dwumianowanych, cz. 2";"
 XII. Obliczenia praktyczne. Uczeń:

 7) zamienia i prawidłowo stosuje jednostki masy: gram, dekagram, kilogram, tona ."

"
  Różne zapisy tego samego

  ułamka dziesiętnego";"
 IV. Ułamki zwykłe i dziesiętne. Uczeń:

 12) porównuje ułamki ((…) dziesiętne)."
"
  Porównywanie ułamków

  dziesiętnych";"
 IV. Ułamki zwykłe i dziesiętne. Uczeń:

 12) porównuje ułamki ((…) dziesiętne)."
"
  Dodawanie ułamków

  dziesiętnych*";"
 V. Działania na ułamkach zwykłych i dziesiętnych. Uczeń:

 2) dodaje (…) ułamki dziesiętne w pamięci (w przykładach najprostszych), pisemnie (w przypadku gdy ułamki mają razem co najwyżej 6 cyfr

	różnych od zera) i za po mocą kalkulatora (w przykładach trudniejszych) ."
"
  Odejmowanie ułamków

  dziesiętnych*";"
 V. Działania na ułamkach zwykłych i dziesiętnych. Uczeń:

 2) dodaje, odejmuje (…) ułamki dziesiętne w pamięci (w przykładach najprostszych), pisemnie (w przypadku gdy ułamki mają razem co najwyżej 6

	cyfr różnych od zera) i za pomocą kalkulatora (w przykłada ch trudniejszych) ."
"
  DZIAŁ 7. POLA FIGUR";
"
  Co to jest pole figury?";"
 XI. Obliczenia w geometrii. Uczeń:

 3) oblicza pola: trójkąta, kwadratu, prostokąta (…) przedstawionych na rysunku oraz w sytuacjach praktycznych (…) ."
"
  Jednostki pola. Pole

  prostokąta";"
 XI. Obliczenia w geometrii. Uczeń:

 4) stosuje jednostki pola: mm 2, cm2, dm 2, m2, km2, ar, hektar ( bez zamiany jednostek w trakcie obliczeń) ."
"
  Zależność między jednostkami

  pola*";"
 XI. Obliczenia w geometrii. Uczeń :

 4) stosuje jednostki pola: mm 2, cm2, dm 2, m2, km2, ar, hektar ( bez zamiany jednostek w trakcie obliczeń);

 XII. Obliczenia praktyczne. Uczeń :

 6) zamienia i prawidłowo stosuje jednostki długości: milim etr, centymetr, decymetr, metr, kilometr ."
"
  Wycinanki i układanki";
"
  DZIAŁ 8. PROSTOPADŁOŚCIANY I SZEŚCIANY";
"
  Opis prostopadłościanu";"
 X. Bryły. Uczeń:

 2) wskazuje wśród graniastosłupów prostopadłościany i sześciany oraz uzasadnia swój wybór ."
"
  Siatki prostopadłościanów";"
 X. Bryły. Uczeń:

 3) rozpoznaje siatki graniastosłupów prostych (…);

 4) rysuje siatki prostopadłościanów ."
"
  Pole powierzchni

  prostopadłościanu*";"
 XI. Obliczenia w geometrii. Uczeń:

 4) stosuje jednostki pola: mm 2, cm2, dm 2, m2, km2, ar, hektar (bez zmiany jednostek w trakcie obliczeń);

 6) oblicza (…) pole powierzchni pros topadłościanu przy danych długościach krawędzi ."
